Character,Dialogue,Sentiment,Sentiment Category
Young Gideon Grey," baaa baaa! takes the tickets what are you gonna do cry?
",-0.5255,Negative
Judy Hopps," steps forward hey! you heard her cut it out. travis runs behind judy
",-0.3382,Negative
Young Gideon Grey," sarcastically nice costume loser! what crazy world are you livin in where you think a bunny could be a cop?
",-0.6588,Negative
Judy Hopps," unfazed she puts her hand out kindly return my friends tickets.
",0.8591,Positive
Young Gideon Grey," taps his overalls pocket come and get em! but watch out cause im a fox and like you said in your dumb little stage play us predators used to eat prey! and our killer instincts still in our duhnuh.
",-0.7936,Negative
Young Gideon Grey," irritated he swats at travis dont tell me what i know travis! travis recoils
",-0.5093,Negative
Judy Hopps," you dont scare me gideon! gideon pushes judy hard to the ground knocking her hat off the children gasp and scream in shock before running behind a tree
",-0.521,Negative
Young Gideon Grey," scared now? judys face shows fear as her eyes water and her nose twitches
",-0.7269,Negative
Young Gideon Grey," cry little baby bunny cry! cryy then judy kicks gideon hard in the face causing the others to gasp flabbergasted. gideon feels his lip. aww you dont know when to quit do you? gideon unsheathes his claws. judy gasps in fear and gideon growls then slashes judy across the cheek. she shrieks in agony and her friends cringe the rabbit girl and sharla cover their eyes and gareth bites his lip. judys cheek shows three claw marks on it. judy feels her cheek and gasps her face full of fear. gideon grabs judys head holding it into the ground as she whimpers i want you to remember this moment the next time you think you will ever be anything more than just a stupid carrotfarming dumb bunny! he gives her head one final push for good measure
",-0.954,Negative
Sharla," are you okay judy?
",0.2263,Positive
Judy Hopps," yeah yeah. im okay. holds up tickets here you go.
",0.6486,Positive
Sharla," takes the tickets back impressed wow! you got our tickets!
",0.8168,Positive
Sharla," yeah! that gideon grey doesnt know what hes talkin bout!
",0.4559,Positive
Judy Hopps," well he was right about one thing: judy picks up her officer hat off the ground and puts it back on as determination spreads rapidly across her face. i dont know when to quit!
",0.6239,Positive
Major Friedkin," listen up cadets! zootopia has twelve unique ecosystems within its city limits. tundratown! sahara square! rainforest district  to name a few! youre gonna have to master all of them before you hit the streets or guess what? looks at judy youll be dead! judy shows a surprised look.
",-0.6776,Negative
Major Friedkin," scorching sandstorm! the cadets make their way across through the sahara square section judy struggles and the sand covers her completely her tail sticks out. youre dead bunny bumpkin.
",-0.7959,Negative
Major Friedkin," onethousandfoot fall!
",0.0,Neutral
Judy Hopps," whoa! judy loses her grip and falls face flat in the mud.
",-0.3802,Negative
Major Friedkin," youre dead carrot face!
",-0.68,Negative
Major Friedkin," frigid icewall! judy tries to climb the iceberg wall but slides off and falls in the icy water. she emerges freezing. youre dead farm girl!
",-0.8456,Negative
Major Friedkin," enormous criminal! judy fights a rhino but gets knocked back. youre dead! scenes show judy covered in tar in a tire her ears caught in a police cruiser door and falling off the vines. dead dead dead!
",-0.9871,Negative
Judy Hopps," whoa!
",0.0,Neutral
Major Friedkin," from the stall right next to judys filthy toilet! youre dead fluffbutt! scene changes to judy outside at dusk. just quit and go home fuzzy bunny.
",-0.7707,Negative
Stu Hopps," faded theres never been a bunny cop.
",0.0,Neutral
Bonnie Hopps," faded never!
",0.0,Neutral
Stu Hopps," faded never.
",0.0,Neutral
Young Gideon Grey," faded ...just a stupid carrotfarming dumb bunny!
",-0.7901,Negative
Leodore Lionheart," as mayor of zootopia i am proud to announce that my mammal inclusion initiative has produced its first police academy graduate. valedictorian of her class zpds very first rabbit officer judy hopps! judy in full police uniform walks up with confidence as her family cheers for her.
",0.8687,Positive
Stu Hopps," cries oh gosh!
",-0.4574,Negative
Leodore Lionheart," ahem assistant mayor bellwether her badge.
",0.0,Neutral
Dawn Bellwether," frantically looks for the badge oh yes right!
",0.1511,Positive
Leodore Lionheart," thank you.
",0.3612,Positive
Leodore Lionheart," judy it is my great privilege to officially assign you to the heart of zootopia precinct one city center. judy lets out a squeal of excitement. judys brothers and sisters cheer bonnie and stu look at each other in concern clapping slowly.
",0.9538,Positive
Dawn Bellwether," congratulations officer hopps.
",0.5994,Positive
Judy Hopps," i wont let you down. quietly this has been my dream since i was a kid.
",0.25,Positive
Dawn Bellwether," aside you know its a  its a real proud day for us little guys.
",0.4767,Positive
Leodore Lionheart," bellwether make room will ya? come on. pushes bellwether out of the way by her face and poses next to judy. okay officer hopps. lets see those teeth!
",0.2942,Positive
Bonnie Hopps," were real proud of you judy.
",0.4767,Positive
Stu Hopps," yup and scared too.
",-0.4404,Negative
Bonnie Hopps," yes.
",0.4019,Positive
Stu Hopps," really its a  its kind of a proudscared combo. i mean zootopia so far away such a big city.
",0.0,Neutral
Judy Hopps," guys ive been working for this my whole life.
",0.0,Neutral
Bonnie Hopps," we know and were just a little excited for you but terrified.
",-0.7137,Negative
Judy Hopps," the only thing we have to fear is fear itself.
",-0.7506,Negative
Stu Hopps," and also bears. we have bears to fear too say nothing of lions and wolves
",-0.4939,Negative
Bonnie Hopps," wolves?
",0.0,Neutral
Stu Hopps," weasels!
",0.0,Neutral
Bonnie Hopps," you play cribbage with a weasel.
",0.34,Positive
Stu Hopps," yeah and he cheats like theres no tomorrow. judy sighs. you know what? pretty much all predators and zootopias full of em.
",0.4404,Positive
Bonnie Hopps," oh stu.
",0.0,Neutral
Stu Hopps," and foxes are the worst!
",-0.6588,Negative
Bonnie Hopps," actually your father does have a point there. its in their biology. remember what happened with gideon grey?
",0.0516,Positive
Judy Hopps," when i was nine. gideon grey was a jerk who happened to be a fox. i know plenty of bunnies who are jerks.
",-0.5106,Negative
Stu Hopps," sure yeah we all do absolutely. but just in case holds up a bag we made a little care package to take with you.
",0.7278,Positive
Bonnie Hopps," mmmm. i put some snacks in there.
",0.0,Neutral
Stu Hopps," takes out a spray bottle this is fox deterrent.
",0.0,Neutral
Bonnie Hopps," yeah thats safe to have.
",0.6249,Positive
Stu Hopps," takes out a repellent this is fox repellent.
",0.0,Neutral
Bonnie Hopps," okay the deterrent and the repellent thats all she needs.
",0.2263,Positive
Stu Hopps," takes out a fox taser check this out! stu turns the fox taser on. the fox taser releases a powerful blast nearly zapping judy who cringes.
",0.4753,Positive
Bonnie Hopps," oh for goodness sake! pulls the fox taser away she has no need for a fox taser stu!
",0.3365,Positive
Stu Hopps," oh come on when is there not a need for a fox taser?
",0.0,Neutral
Judy Hopps," okay look! i will take this takes fox repellent to make you stop talking.
",-0.1511,Negative
Stu Hopps," happily terrific! everyone wins! the train arrives
",0.8997,Positive
Judy Hopps," okay gotta go. bye! judy enters the train other siblings are heard saying bye judy! judy pauses for a second then runs back and hugs her parents i love you guys! she kisses bonnies cheek and then stus.
",0.9257,Positive
Bonnie Hopps," love you too. judy releases them and runs back to the train
",0.6369,Positive
Stu Hopps," sniffing and tearing up he briefly clenches his fists oh cripes. here come the waterworks. he blubbers and clings to bonnie who pats his shoulder. oh geez...
",0.0,Neutral
Bonnie Hopps," oh stu pull it together.
",0.0,Neutral
Judy Hopps," bye everybody!
",0.0,Neutral
Stu Hopps," bye. bye judy!
",0.0,Neutral
Judy Hopps," bye!
",0.0,Neutral
Gazelle," on a video billboard im gazelle. welcome to zootopia.
",0.4588,Positive
Judy Hopps," thank you. sees bucky and pronk oryxantlerson walking past her oh hi! im judy your new neighbor.
",0.4199,Positive
Bucky Oryxantlerson," grumpily yeah? well were loud.
",0.5106,Positive
Pronk Oryxantlerson," grumpily dont expect us to apologize for it.
",0.1027,Positive
Judy Hopps," greasy walls... puts her suitcase on the floor and presses down on the bed rickety bed... bucky and pronk are heard next door saying shut up! to each other two pictures on judys wall move up and down as the two yell at each other crazy neighbors... flops on the bed with a huge smile i love it!!
",0.7249,Positive
Judy Hopps," eh... judy leaves the room. a few seconds later she goes back in and grabs the repellent.
",0.0,Neutral
Benjamin Clawhauser," mmmmmmm! judy walks up to the desk.
",0.0,Neutral
Judy Hopps," excuse me!
",0.1511,Positive
Benjamin Clawhauser," looking around in surprise hm?
",0.2732,Positive
Judy Hopps," down here! clawhauser looks out from his desk and sees judy hi!
",0.0,Neutral
Benjamin Clawhauser," o.m. goodness. puts down his bowl of cereal clearly surprised and excited they really did hire a bunny. laughs what?! heh i gotta tell you you are even cuter than i thought youd be!
",0.938,Positive
Judy Hopps," ooh uh you probably didnt know but a bunny can call another bunny cute but when other animals do it its a little...
",0.6124,Positive
Benjamin Clawhauser," gasps i am so sorry! pointing to himself me benjamin clawhauser the guy everyone thinks is just a flabby donutloving cop stereotyping you. aw...
",-0.2578,Negative
Judy Hopps," giggles thats okay. notices a donut stuck under clawhausers neck fold oh youve actually  youve actually got... theres a...
",0.1779,Positive
Benjamin Clawhauser," um... a what?
",0.0,Neutral
Judy Hopps," in your neck the fold... the  the theres...
",0.0,Neutral
Benjamin Clawhauser," where? pulls the donut out of his neck fat oh there you went you little dickens! eats the donut whole. nom!
",0.0,Neutral
Judy Hopps," laughs nervously i should get to roll call so which way do i
",0.3818,Positive
Benjamin Clawhauser," points oh bull pens over there to the left.
",0.0,Neutral
Judy Hopps," great. thank you! judy walks off to the bull pen as the other officers stare at her in astonishment.
",0.784,Positive
Benjamin Clawhauser," aww! that poor little bunnys gonna get eaten alive.
",-0.2003,Negative
Judy Hopps," cheerfully hey! officer hopps. you ready to make the world a better place?
",0.8313,Positive
Chief Bogo," alright. alright! everybody sit. judy sits but when she sits only the tips of her ears are shown so later she stands. ive got three items on the docket. first... we need to acknowledge the elephant in the room. turns to an elephant officer francine. they look at francine in mild suspense happy birthday.
",0.8096,Positive
Judy Hopps," applauds and is later surprised oh oh...
",0.5106,Positive
Chief Bogo," number two there are some new recruits with us i should introduce but im not going to because i dont care.
",-0.5093,Negative
Chief Bogo," finally we have fourteen missing mammal cases  all predators  from a giant polar bear to a teensy little otter and city hall is right up my tail to find them! this is priority number one. higgins gives chief bogo the files bogo takes out glasses and starts handing them out to the assigned officers assignments: officers grizzoli fangmeyer delgato your teams take missing mammals from the rainforest district. delgato takes the file from grizzoli as the team leaves officers mchorn rhinowitz wolfard your teams take sahara square. mchorn takes the file and his team leaves officers higgins snarlov trunkaby: tundratown. trunkaby takes the file and the team leaves and finally our first bunny: officer hopps... judy anxiously awaits for her assignment chief bogo sighs giving a blank stare parking duty. dismissed. judy shows signs of confusion.
",-0.5848,Negative
Judy Hopps," parking duty? gets chief bogos attention who was leaving the room chief? chief bogo? chief bogo puts on his glasses and looks down at judy sir you said there were fourteen missing mammal cases.
",-0.4098,Negative
Chief Bogo," so?
",0.0,Neutral
Judy Hopps," so i can handle one. you probably forgot but i was top of my class at the academy.
",0.296,Positive
Chief Bogo," didnt forget. just dont care.
",-0.2411,Negative
Judy Hopps," sir im not just some token bunny.
",0.0,Neutral
Chief Bogo," well then writing one hundred tickets a day should be easy. leaves room judy seems stunned she taps her foot angrily
",0.2023,Positive
Judy Hopps," a hundred tickets im not gonna write a hundred tickets. im gonna write twohundred tickets! before noon!
",0.0,Neutral
Judy Hopps," boom! twohundred tickets before noon. judys own meter expires ugh... prints out a ticket and gives it to her own vehicle twooone.
",-0.4753,Negative
Doug," hey watch where youre goin fox! nick looks back at doug lifts his arms with an angry look doug drives away
",-0.5562,Negative
Judy Hopps," whispering whered he go? judy hops down and goes inside the store
",0.0,Neutral
Jerry Jumbeaux Jr.," listen i dont know what youre doing skulking around during daylight hours but i dont want any trouble in here judy opens the lid off her belt to use the fox repellent so hit the road!
",0.4303,Positive
Nick Wilde," im not looking for any trouble either sir. i simply wanna buy a jumbopop for my little boy. a very small fennec fox finnick appears in an elephant costume sucking on a pacifier. he looks at judy. judy is taken aback to finnick you want the red or the blue pal?
",-0.34,Negative
Judy Hopps," ugh closes the strap on her belt and starts to leave im such a 
",-0.4588,Negative
Jerry Jumbeaux Jr.," to finnick okay come on kid back up. to nick listen buddy what? there arent any fox ice cream joints in your part of town? judy stops and overhears them her ears pricking up.
",-0.2406,Negative
Nick Wilde," uh no no. there are there are. its just my boy patting finnick on the head this goofy little stinker he loves all things elephant wants to be one when he grows up. finnick puts on an elephant mask and trumpets like an elephant is that adorable?
",0.6936,Positive
Judy Hopps," aww...
",0.0,Neutral
Nick Wilde," who the heck am i to crush his little dreams huh? right?
",0.2885,Positive
Jerry Jumbeaux Jr.," look you probably cant read fox takes out a sign and points to it with his trunk but the sign says we reserve the right to refuse service to anyone so beat it! he points to the door with his trunk
",-0.4753,Negative
Judy Hopps," hello? excuse me?
",0.168,Positive
Jerry Jumbeaux Jr.," hey youre gonna have to wait your turn like everyone else meter maid.
",0.3612,Positive
Judy Hopps," actually pulls back the orange mesh strap of her meter maid outfit revealing her police uniform and badge im an officer. just had a quick question: are your customers aware theyre getting snot and mucus with their cookies and cream? an elephant couple are eating ice cream together holding trunks. upon hearing this the male elephant spits the ice cream from his trunk in the female elephants face.
",0.0,Neutral
Jerry Jumbeaux Jr.," what are you talkin about?
",0.0,Neutral
Judy Hopps," well i dont wanna cause you any trouble but i believe scooping ice cream with an ungloved trunk is a classthree health code violation. jerry notices an employee holding ice cream with his trunk. the employee drops the ice cream wipes his trunk on his apron and sheepishly walks out. which is kind of a big deal. nick stands bewildered at her eagerness to help him. of course i can let you off with a warning if you glove those trunks and i dont know finish selling this nice dad and his son a... to nick whispered what was it?
",0.5824,Positive
Nick Wilde," a jumbo pop. please.
",0.3182,Positive
Judy Hopps," a jumbo pop.
",0.0,Neutral
Jerry Jumbeaux Jr.," sighs in annoyance fifteen dollars.
",-0.3182,Negative
Nick Wilde," thank you so much. to judy thank you. feels his pockets then becomes mildly surprised. oh no are you kidding me? i dont have my wallet! chuckles nervously id lose my head if it werent attached to my neck. thats the truth. sighs oh boy to finnick im sorry pal. strokes finnicks head gotta be about the worst birthday ever. places his paws on finnicks cheeks please dont be mad at me. kisses finnick on the head and they walk out to judy thanks anyway. as he takes finnick out the latter points back at the counter
",0.8812,Positive
Judy Hopps," keep the change.
",0.0,Neutral
Nick Wilde," officer i cant thank you enough. so kind really. can i pay you back?
",0.3803,Positive
Judy Hopps," oh no my treat. it just  you know it burns me up to see folks with such backward attitudes toward foxes. i just wanna say that youre a great dad and just a... a real articulate fella.
",0.1635,Positive
Nick Wilde," well that is high praise. its rare that i find someone so nonpatronizing. officer...
",0.6908,Positive
Judy Hopps," tips her hat hopps. mr...
",0.0,Neutral
Nick Wilde," wilde. nick wilde. judy and nick shake paws judy looks at finnick
",-0.1779,Negative
Judy Hopps," and you little guy you want to be an elephant when you grow up? you be an elephant. because this is zootopia. places a zootopia police sticker on finnick anyone can be anything. finnick toots
",0.0094,Neutral
Nick Wilde," ah boy i tell him that all the time. gives finnick the jumbo pop alright here you go. two paws yeah. oh look at that smile finnick smiles through the costume thats a happy birthday smile! all right. give her a little byebye toottoot!
",0.9391,Positive
Judy Hopps," toottoot! laughs
",0.5411,Positive
Nick Wilde," bye now! spins around and walks down the street with finnick
",0.0,Neutral
Judy Hopps," goodbye! cheerfully heads off on her way
",0.5255,Positive
Judy Hopps," oh! hey little toottoot...
",0.0,Neutral
Nick Wilde," pawpsicles! get your pawpsicles.
",0.0,Neutral
Nick Wilde," lumber delivery!
",0.0,Neutral
Nick Wilde," the color? uhh... its red wood.
",0.0,Neutral
Nick Wilde," thirtynine forty. there you go. way to work that diaper big guy! finnick takes off the costume and goes in the van. hey! no kiss byebye for daddy? finnick slams the door spits out the pacifier and looks at nick.
",-0.4434,Negative
Finnick," in a deep gruff voice you kiss me tomorrow ill bite your face off! french hip hop music starts playing finnick puts on shades ciao. finnick drives off revealing a glaring judy. as nick eats one of his own pawpsicles he stops at the sight of her.
",0.126,Positive
Judy Hopps," well. i stood up for you and you lied to me. you liar!
",-0.6239,Negative
Nick Wilde," its called a hustle sweetheart. and im not the liar he is! points to the opposite way judy looks but sees no one. she turns back and sees that nick disappeared. she turns the other way and sees nick walking away
",-0.2361,Negative
Judy Hopps," hey! chases nick all right slick nick youre under arrest.
",-0.4003,Negative
Nick Wilde," really for what?
",0.0,Neutral
Judy Hopps," gee i dont know. how about selling food without a permit transporting undeclared commerce across borough lines false advertising...
",0.0,Neutral
Nick Wilde," shows a certificate permit receipt of declared commerce and i did not falsely advertise anything. take care.
",0.4939,Positive
Judy Hopps," you told that mouse the pawpsicle sticks were redwood!
",0.0,Neutral
Nick Wilde," thats right. hands her the stick and taps it red wood. with a space in the middle. wood that is red. judy looks at the stick and then at nick. nick crosses the street as wildebeest cross you cant touch me carrots. ive been doing this since i was born.
",0.0,Neutral
Judy Hopps," threateningly youre gonna want to refrain from calling me carrots.
",-0.4404,Negative
Nick Wilde," my bad i just naturally assumed you came from some little carrotchoked podunk no?
",-0.5423,Negative
Judy Hopps," gets through the wildebeest uh no. podunk is in deerbrooke county and i grew up in bunnyburrow.
",0.0,Neutral
Nick Wilde," okay. tell me if this story sounds familiar. takes a blueberry from a stand and eats it naive little hick with good grades and big ideas decides hey look at me im gonna move to zootopia where predators and prey live in harmony and sing kumbaya! only to find  whoopsie  we dont all get along. and that dream of becoming a bigcity cop? double whoopsie! shes a meter maid. and whoopsie number threesie no one cares about her or her dreams. as he says this she looks sad and shocked that he knows everything and soon enough those dreams die judy gives him a look of shock and anger at the mention of the possibility of her dream dying and our bunny sinks into emotional and literal squalor living in a box under a bridge. till finally she has no choice but to go back home with that cute fuzzywuzzy little tail between her legs he brushes his tail against the ground to emphasize to become... youre from bunnyburrow is that what you said? so how about a carrot farmer? does that sound about right? walks off leaving judy stunned. judy follows nick and is almost trampled by a rhino be careful now or it wont just be your dreams getting crushed.
",0.4892,Positive
Judy Hopps," catches up to nick frustrated hey hey! no one tells me what i can or cant be! especially not some jerk who never had the guts to try and be anything more than a pawpsicle hustler.
",-0.5973,Negative
Nick Wilde," all right look everyone comes to zootopia thinking they can be anything they want. well you cant. you can only be what you are. points to himself sly fox points to judy dumb bunny.
",-0.2263,Negative
Judy Hopps," i am not a dumb bunny. she sinks a bit and there is a soft squelch as she sinks to her knees
",0.4023,Positive
Nick Wilde," right. points down and thats not wet cement. judy is seen up to her knees in cement three construction beavers take notice and glare at her. nick walks off as judy struggles to break loose youll never be a real cop. youre a cute meter maid though. maybe a supervisor one day. hang in there! nick turns a corner leaving judy upset.
",-0.5707,Negative
Judy Hopps," oh hey its my parents!
",0.0,Neutral
Bonnie Hopps," oh there she is! hi sweetheart!
",0.7081,Positive
Stu Hopps," hey there jude the dude! how was your first day on the force?
",0.0,Neutral
Judy Hopps," it was real great.
",0.6249,Positive
Bonnie Hopps," yeah? everything you ever hoped?
",0.6322,Positive
Judy Hopps," mmhmm absolutely and more! everyones so nice and i feel like im really making a difference.
",0.7742,Positive
Stu Hopps," notices judys meter maid uniform wait a second... gets a bit closer to the screen holy cripes bonnie look at that!
",0.0,Neutral
Bonnie Hopps," gets a bit closer to the screen as well oh my sweet heaven! judy are you a meter maid?
",0.8268,Positive
Judy Hopps," oh this  tries hurriedly to cover her vest no! oh no. no this is just a temporary thing!
",-0.4184,Negative
Bonnie Hopps," oh! its the safest job on the force!
",0.508,Positive
Stu Hopps," oh shes not a real cop. our prayers have been answered!
",0.0,Neutral
Bonnie Hopps," glorious day!
",0.6696,Positive
Stu Hopps," hoho! meter maid meter maid meter maid meter maid!
",0.0,Neutral
Judy Hopps," over stu dad. dad! dad! you know what its been a really long day i should really...
",0.0,Neutral
Bonnie Hopps," thats right you get some rest!
",0.0,Neutral
Stu Hopps," those meters arent gonna maid themselves!
",0.0,Neutral
Bonnie Hopps," byebye! ends call
",0.0,Neutral
Judy Hopps," buhbye... judy puts down the phone and sits back still depressed as the music still plays.
",-0.3182,Negative
Pronk Oryxantlerson," from the other room hey bunny turn down that depressing music!
",-0.4389,Negative
Bucky Oryxantlerson," from the other room leave the meter maid alone! didnt you hear her conversation? she feels like a failure!
",-0.555,Negative
Pronk Oryxantlerson," oh shut up!
",0.0,Neutral
Bucky Oryxantlerson," you shut up!
",0.0,Neutral
Pronk Oryxantlerson," you shut up!
",0.0,Neutral
Bucky Oryxantlerson," you shut up!
",0.0,Neutral
Judy Hopps," groans mutters to herself tomorrows another day...
",0.0,Neutral
Pronk Oryxantlerson," yeah but it might be worse!
",-0.5916,Negative
Judy Hopps," sighs i am a real cop i am a real cop i am a real cop i am a real cop... duke weaselton runs past her carrying a duffel bag. frantic pig goes up to her.
",-0.4404,Negative
Frantic Pig," hey! hey hey! you bunny!
",0.0,Neutral
Judy Hopps," agitated stops banging her head sir if you have a grievance you may contest your citation in traffic court.
",-0.7717,Negative
Frantic Pig," what are you talking about?! my shop! it was just robbed! look hes getting away! duke quickly runs away from the shop. frantic pig shakes judys vehicle violently surprising her well are you a cop or not?!
",-0.7208,Negative
Judy Hopps," seeing it as an opportunity to prove herself oh! yes. yes! dont worry sir i got this! judy runs out of her car throws her hat away tears off her vest like superman tearing out of his uniform and chases after duke. stop! duke sees her chasing after him. stop in the name of the law!
",0.8391,Positive
Duke Weaselton," catch me if ya can cottontail! judy chases duke through savannah central. duke dodges large animals and runs under a police car. coming through!
",0.0,Neutral
Judy Hopps," i got dibs! officer hopps i am in pursuit! wootwoot!
",0.0,Neutral
Judy Hopps," you! freeze! judy runs after him and mchorn runs up to the gate.
",0.1984,Positive
Judy Hopps," stop!
",-0.3595,Negative
Duke Weaselton," ha ha ha ha!
",0.7574,Positive
Judy Hopps," oh! sorry coming through! excuse me. excuse me. pardon. she gets on the train tracks and hears a train whistle. she sees duke on top on a mousesized train. she quickly gets out of the way. aaahh!
",0.6458,Positive
Duke Weaselton," bon voyagey flatfoot!
",0.0,Neutral
Judy Hopps," hey! stop right there!
",-0.4184,Negative
Duke Weaselton," have a donut coppa! he kicks the donut sign judy yelps and ducks. not far away fru fru a lady shrew is seen walking down the street with her shrew friends carrying shopping bags.
",0.1511,Positive
Fru Fru," oh my gawd did you see those leopard print jeggings?
",0.0,Neutral
Judy Hopps," oh! she takes notice and catches the donut which is just a few inches away from her head. fru fru looks up and sees judy holding the donut sign.
",0.0,Neutral
Judy Hopps," whew! i love your hair.
",0.6696,Positive
Fru Fru," twirls her hair flattered aw... thank you!
",0.6588,Positive
Duke Weaselton," chuckles taking the bag come to papa!
",0.3382,Positive
Benjamin Clawhauser," okay. youre gonna have to be patient and wait in line just like everyone else mrs. otterton okay?
",0.6486,Positive
Judy Hopps," triumphantly happy i popped the weasel!
",0.807,Positive
Chief Bogo," hopps! judy sees chief bogo on the secondfloor balcony who points angrily to the left to meet him in his office.
",-0.4753,Negative
Chief Bogo," abandoning your post inciting a scurry reckless endangerment of rodents but  to be fair  you did stop a master criminal from stealing twodozen moldy onions. shows the bag revealing plant bulbs
",-0.9209,Negative
Judy Hopps," mmm hate to disagree with you sir but those arent onions. those are a crocus varietal called midnicampum holicithius. theyre a class с botanical sir. well i grew up in a family where plant husbandry was kind of a thing
",-0.128,Negative
Chief Bogo," shut your tiny mouth now! puts the bag away
",0.0,Neutral
Judy Hopps," sir i got the bad guy. thats my job!
",-0.5848,Negative
Chief Bogo," your job is putting tickets on parked cars!
",0.0,Neutral
Benjamin Clawhauser," through intercom chief uh mrs. ottertons here to see you again.
",0.0,Neutral
Chief Bogo," not now.
",0.0,Neutral
Benjamin Clawhauser," through intercom okay i just  didnt know if you wanted to take it this time she seems really upset...
",-0.2484,Negative
Chief Bogo," this time punctuating one word at a time and pushing the button once for each word not! now!
",0.0,Neutral
Judy Hopps," sir bogo glares back at judy as her ears drop i dont wanna be a meter maid. i wanna be a real cop.
",-0.2732,Negative
Chief Bogo," fuming do you think the mayor asked what i wanted when he assigned you to me?!
",-0.6114,Negative
Judy Hopps," but sir if
",0.0,Neutral
Chief Bogo," life isnt some cartoon musical where you sing a little song and your insipid dreams magically come true! leans in closely so let. it. go. mrs. otterton enters his office distressed.
",-0.1511,Negative
Mrs. Otterton," chief bogo please! five minutes of your time please!
",0.6351,Positive
